"id","Name","Vorname","Titel","Beruf","geb_am","geb_in","ges_am","ges_in","f_id","k_id"
"1","Ach","Manfred","","Oberregierungsrat a.D.","1940-09-14","Ansbach/Mittelfranken","null","","1","1"
"2","Ackermann","Renate","","Heilerziehungspflegerin","1952-04-26","Ansbach","null","","2","2"
"3","Adametz","Rudolf","","kaufm.Angestellter","1923-03-26","Mährisch-Ostrau","1983-08-19","Kirchseeon","3","3"
"4","Adelberger","Alfons","","Realschulkonrektor","1925-04-30","Obernburg/Main","2000-06-04","","4","4"
"5","Adelmann","Kurt","","Werkzeugmacher, Gewerkschaftsangestellter","1930-10-05","Nürnberg","1978-11-08","Lauf a.d.Pegnitz","5","2"
"6","Adelt","Klaus","","Bürgermeister a.D.","1956-10-19","Hof","null","","6","1"
"7","Aigner","Ilse","","Staatsministerin","1964-12-07","Feldkirchen-Westerham","null","","6","1"
"8","Aiwanger","Hubert","","Agraringenieur (FH), Landwirt","1971-01-26","Ergoldsbach","null","","6","1"
"9","Albert","Martin","","Schlosser, Redakteur","1909-01-05","Neumarkt i.d.Opf.","1991-11-10","Kempten","7","3"
"10","Albrecht","Heinrich","","Schlosser, Gewerkschaftsangestellter","1918-05-15","München","1978-12-01","München","5","3"
"11","Allwein","Max","","Notar","1904-12-18","München","1977-11-20","Bad Tölz","3","3"
"12","Altenhöfer","Ludwig","","Bezirksgeschäftsführer und Publizist","1921-12-08","Würzburg","1974-12-26","Würzburg","8","1"
"13","Ammann","Erwin","","Fernmeldehandwerker, Landrat","1916-10-22","Würzburg","2000-12-27","Würzburg","3","3"
"14","Anetseder","Johann","","Bauer","1898-10-07","Aichet (Thyrnau)","1948-12-12","Kellberg (Thyrnau)","3","3"
"15","Ankermüller","Willi","Dr.","Rechtsanwalt, Staatsminister a.D.","1901-03-18","Neustadt a.d.Saale","1986-07-07","Großhesselohe (Pullach i.Isartal)","3","3"
"16","Appelt","Dieter E.","","Stahlformenbauer","1947-11-26","Fürth","null","","8","2"
"17","Arnold","Friedrich","Dr.","Oberstudiendirektor","1912-05-17","Marienbad","1969-07-29","Amberg","8","1"
"18","Arnold","Horst","","Richter am Amtsgericht a.D., Rechtsanwalt","1962-04-08","Aschaffenburg","null","","9","1"
"19","Asenbeck","Nikolaus","","Landwirt","1930-05-25","Zangberg","null","","10","1"
"20","Auer","Arthur","","BRK-Geschäftsführer","1932-02-26","Tettenweis,Krs.Griesbach,jetzt Passau","null","","8","1"
"21","Aures","Inge","","Dipl.-Ingenieurin (FH); M.A. Architektin Dipl.Ing. FH, Oberbürgermeisterin a.D.","1956-07-10","Presseck","null","","7","2"
"22","Babel","Günther","","stellvertr. Schulleiter","1952-09-26","Wassertrüdingen","null","","11","2"
"23","Bachhuber","Martin","","Verwaltungswirt","1955-10-14","Benediktbeuern","null","","12","1"
"24","Bachmann","Georg","","Landwirt","1885-12-06","Westheim","1971-10-24","Westheim","3","5"
"25","Bachmann","Rudolf","","Landwirt","1925-08-10","Westheim,Lkr.Gunzenhausen","1998-03-27","Westheim,Lkr.Gunzenhausen","3","5"
"26","Bachmann","Walter","","Versicherungskaufmann","1923-11-08","Haida,Kr.Böhmisch Leipa,Sudetenland","2002-04-19","Regensburg","5","1"
"27","Bachmann","Wilhelm","","Landwirt, Bürgermeister","1895-10-19","Westheim","1969-07-03","Röckingen","3","5"
"28","Balk","Margarete","","Wirtschaftslehrerin","1896-02-04","Gemünden/Main","1974-07-10","Würzburg","3","4"
"29","Bantele","Georg","","Lehrer; Oberst a.D.; Bürgermeister a.D.","1893-09-23","Frankenhofen (Kaltental)","1961-12-15","Bayreuth","3","3"
"30","Barfuß","Georg","Prof. Dr.","Professor","1944-06-10","Lauingen","null","","2","1"
"31","Bauer","Georg","","Journalist","1917-10-20","Prag","2003-02-04","Bürgstadt","5","3"
"32","Bauer","Hannsheinz","","Angestellter im Rechtsreferat, Kaufmann","1909-03-28","Wunsiedel","2005-07-18","Würzburg","7","3"
"33","Bauer","Josef","","Amtsgerichtsrat a.D.; Landrat a.D., Staatssekretär a.D.","1912-03-15","Regensburg","1978-04-09","Kelheim","3","3"
