"id","Bezeichnung"
"44","1 erwachsener Sohn"
"30","1 Kind"
"28","2 Kinder"
"48","3 Kinder"
"43","geschieden"
"41","geschieden, 1 Kind"
"54","geschieden, 1 Sohn"
"23","geschieden, 2 Kinder"
"18","geschieden, 3 Kinder"
"36","geschieden, 4 Kinder"
"17","getrennt lebend, 1 Kind"
"51","getrennt lebend, 2 Kinder"
"56","getrennt lebend, 3 Kinder"
"3","keine Angabe"
"46","keine Angabe, 1 Kind"
"33","keine Angabe, 2 Kinder"
"49","keine Angabe, 3 Söhne"
"6","ledig"
"45","ledig, 1 Kind"
"57","ledig, 1 Sohn"
"58","ledig, 2 Kinder"
"21","ledig, 3 Kinder"
"7","verheiratet"
"50","verheiratet, 1 erw. Tochter"
"13","verheiratet, 1 erwachsener Sohn"
"5","verheiratet, 1 Kind"
"14","verheiratet, 1 Sohn"
"62","verheiratet, 1 Sohn, 1 Tochter"
"26","verheiratet, 1 Tochter"
"31","verheiratet, 1 Tochter (1985), 1 Sohn (1988)"
"29","verheiratet, 1 Tochter, 1 Sohn"
"34","verheiratet, 11 Kinder"
"52","verheiratet, 2"
"11","verheiratet, 2 erwachsene Kinder"
"8","verheiratet, 2 Kinder"
"37","verheiratet, 2 Kinder (Markus und Michaela)"
"38","verheiratet, 2 Söhne"
"47","verheiratet, 2 Söhne - 6 Enkel"
"1","verheiratet, 2 Töchter"
"59","verheiratet, 2, in Patchwork 5 Kinder"
"16","verheiratet, 3 erwachsene Kinder"
"9","verheiratet, 3 Kinder"
"39","verheiratet, 3 Kinder, 2 Enkelkinder"
"32","verheiratet, 3 Söhne"
"40","verheiratet, 3 Töchter"
"4","verheiratet, 4 Kinder"
"42","verheiratet, 4 Töchter"
"2","verheiratet, 5 Kinder"
"10","verheiratet, 6 Kinder"
"24","verheiratet, 7 Kinder"
"19","verheiratet, 8 Kinder"
"61","verheiratet, 9 Kinder"
"12","verheiratet, drei Kinder"
"20","verheiratet, eine Tochter"
"27","verheiratet, zwei Kinder"
"22","verheiratet, zwei Töchter"
"15","verwitwet"
"35","verwitwet, 1 Kind"
"60","verwitwet, 1 Sohn"
"25","verwitwet, 2 Kinder"
"53","verwitwet, 3 Kinder"
"55","verwitwet, 6 Kinder"
