"id","Type","Bezeichnung"
"418","S","Würzburg-Land"
"419","W","Mittelfranken"
"420","W","Oberbayern"
"421","S","Stkr.Alzenau,Gemünden a.Main,Lohr a.Main/Ufr"
"422","W","Oberfranken"
"423","S","Miesbach"
"424","W","Niederbayern"
"425","S","Stkr.Nürnberg-Stadt IV u. V/Mfr"
"426","S","Stkr.Nürnberg-Stadt II u. III/Mfr"
"427","W","Unterfranken"
"428","W","Oberpfalz"
"429","S","Stkr.Mühldorf-Wasserburg a.Inn/Obb"
"430","S","Stkr.Mühldorf a.Inn/Obb"
"431","S","Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen"
"432","S","Stkr.Weißenburg Stadt u.Land, Gunzenhausen/Mfr"
"433","S","Stkr.Dinkelsbühl, Feuchtwangen,Gunzenhausen/Mfr"
"434","W","Schwaben"
"435","S","Stkr.Kelheim,Mainburg,Rottenburg a.d.Laaber/Ndb"
"436","S","Roth"
"437","S","Stkr.Ansbach-Süd/Mfr"
"438","S","Stkr.Schweinfurt-Nord/Ufr"
"439","S","Stkr.Friedberg-Schwabmünchen/Schw"
"440","S","Stkr.Aichach, Dachau/Obb"
"441","S","Kronach, Lichtenfels"
"442","S","Stkr.Günzburg-Stadt u. Land, Krumbach/Schw."
"443","S","Stkr.Dillingen Stadt u. Land/Schw"
"444","S","Aschaffenburg-West"
"445","S","Stkr.Regensburg-Land/Opf"
"446","S","Stkr.München-Stadt (8), Stbez. 26 Schwabing-West, 27 Milbertshofen, Hart/Obb"
"447","S","Nürnberg-Nord"
"448","S","Stkr.Augsburg I/Schw"
"449","S","Stkr.Traunstein-Stadt u.Land/Obb"
"450","S","Stkr.Starnberg/Obb"
"451","S","München-Pasing"
"452","S","Stkr.Straubing Stadt und Land/Ndb"
"453","S","Stkr.München-Schwabing/Obb"
"454","S","Stkr.Bogen,Viechtach/Ndb"
"455","S","Stkr.Regen - Kötzting/Ndb"
"456","S","Stkr.Kötzting-Regen-Viechtach/Ndb"
"457","S","Stkr.Eichstätt/Obb"
"458","S","München-Ramersdorf"
"459","S","Fürstenfeldbruck-Ost"
"460","S","München-Bogenhausen"
"461","S","Stkr.Pfarrkirchen-Griesbach/Ndb"
"462","S","Ansbach-Nord"
"463","S","Bayreuth"
"464","S","Stkr.München-Stadt/Obb"
"465","S","Regen"
"466","S","Regen, Freyung-Grafenau"
"467","S","Stkr.Fürstenfeldbruck/Obb"
"468","S","Stkr.Staffelstein-Lichtenfels/Ofr"
"469","S","Stkr.Lichtenfels/Ofr"
"470","S","Stkr.Rhön/Ufr"
"471","S","Stkr.Hof-Stadt und Land/Ofr"
"472","S","Stkr.Würzburg-Stadt/Ufr"
"473","S","Stkr.Amberg-Sulzbach Süd/Opf"
"474","S","Stkr.Kronach/Ofr"
"475","S","Stkr.Landshut-Stadt u.Land/Ndb"
