"id","Bezeichnung"
"359","1.stv.Mitglied"
"356","2.stv.Mitglied"
"237","7er-Kommission - Besoldungsordnung"
"173","Aids-Kommission"
"339","Alm- und Weidewirtschaftsstelle"
"354","Alterspräsidentin"
"64","Ältestenrat"
"161","Arbeitsausschuß - Landesentschädigung"
"288","Ausschuß als Beirat des Staatskommissars für die Überführung von Unternehmen in Staatseigentum gemäß Art.160 der Bayerischen Verfassung"
"25","Ausschuß Bayern Pfalz"
"71","Ausschuß für Angelegenheiten der Heimatvertriebenen und Kriegsfolgegeschädigten"
"272","Ausschuß für Aufgaben wirtschaftlicher Art"
"330","Ausschuß für Beamtenrecht"
"75","Ausschuß für Besoldungsfragen"
"17","Ausschuß für Bildung, Jugend und Sport"
"361","Ausschuß für Bildungsfragen"
"207","Ausschuß für Bundes- und Europaangelegenheiten"
"20","Ausschuß für den Staatshaushalt"
"273","Ausschuß für die Besoldungsordnung"
"21","Ausschuß für die Geschäftsordnung"
"162","Ausschuß für die Überprüfung von Kreditfällen"
"28","Ausschuß für die Wahlprüfung"
"298","Ausschuß für die Zeit der Vertagung des Landtags nach § 30 der Verfassungsurkunde"
"301","Ausschuß für die Zeit der Vertagung nach § 30 Abs.III der Verfassungsurkunde"
"7","Ausschuß für Eingaben und Beschwerden"
"158","Ausschuß für Entnazifizierungsfragen"
"8","Ausschuß für Ernährung und Landwirtschaft"
"117","Ausschuß für Ernährung, Landwirtschaft und Forsten"
"135","Ausschuß für Flüchtlingsfragen"
"9","Ausschuß für Fragen des Beamtenrechts und der Besoldung"
"32","Ausschuß für Fragen des Länderrats und für Fragen bizonaler und mehrzonaler Art"
"93","Ausschuß für Fragen des öffentlichen Dienstes"
"73","Ausschuß für Geschäftsordnung und Wahlprüfung"
"33","Ausschuß für Grenzlandfragen"
"208","Ausschuß für Hochschule,Forschung und Kultur"
"90","Ausschuß für Innerdeutsche Entwicklung und Grenzlandfragen"
"180","Ausschuß für Kommunale Fragen und Innere Sicherheit"
"72","Ausschuß für kulturpolitische Angelegenheiten"
"11","Ausschuß für Kulturpolitische Fragen"
"57","Ausschuß für Landesentwicklung und Umweltfragen"
"31","Ausschuß für Rechts- und Verfassungsfragen"
"39","Ausschuß für Sicherheitsfragen"
"35","Ausschuß für Sozial- und Gesundheitspolitik"
"1","Ausschuß für Sozial-,Gesundheits-u.Familienpolitik"
"74","Ausschuß für Sozialpolitische Angelegenheiten"
"109","Ausschuß für sozialpolitische Fragen"
"2","Ausschuß für Staatshaushalt und Finanzfragen"
"168","Ausschuß für Verfassungs- und Rechtsfragen"
"51","Ausschuß für Verfassungs-, Rechts- und Kommunalfragen"
"285","Ausschuß für Verfassungs-, Rechts- und Parlamentsfragen"
"300","Ausschuß für Verfassungsfragen"
"332","Ausschuß für Wahlprüfungen"
"100","Ausschuß für Wirtschaft"
"23","Ausschuß für Wirtschaft und Verkehr"
"123","Ausschuß für Wirtschaft, Verkehr und Grenzland"
"231","Ausschuß für Wohnungs- und Siedlungsbau"
"40","Ausschuß zu Information über Bundesangelegenheiten"
"335","Ausschuß zur Bekämpfung des Wuchers und Schiebertums"
"367","Ausschuß zur Beratung der Anträge, die Verbesserung der wirtschaftlichen Verhältnisse im Königreiche Bayern betr."
"369","Ausschuß zur Beratung des Entwurfs eines Gemeindebeamtengesetzes"
"371","Ausschuß zur Beratung des Entwurfs eines Volksschullehrergesetzes und eines Schulbedarfsgesetzes"
"388","Ausschuß zur Beratung des Gesetzentwurfes über die Änderung des Volksschullehrergesetzes und des Schulbedarfsgesetzes"
"385","Ausschuß zur Einbringung von Vorschlägen f.d.Verwaltungsvereinfachung"
"41","Ausschuß zur Einbringung von Vorschlägen für die Verwaltungsvereinfachung"
"378","Ausschuß zur Entscheidung von Streitfragenbeim Vollzug des Aufwandsentschädigungsgesetzes"
"79","Ausschuß zur Förderung des technischen Nachwuchses"
"42","Ausschuß zur Information über Bundesangelegenheiten"
"265","Ausschuß zur Information über Bundesangelegenheiten und Europafragen"
"382","Ausschuß zur Nachprüfung der Eisner`schen Enthüllungen"
"312","Ausschuß zur Untersuchung der Vorgänge vom 01. Mai 1923 und der gegen Reichs- und Landesverfassung gerichteten Bestrebungen vom 26. September bis 09. November 1923"
"376","Ausschuß zur Untersuchung des Vorwurfs gegen Organe der Polizeidirektion München wegen Organisation zur gewaltsamen Beseitigung von Menschen"
"205","Ausschuss für Arbeit und Soziales, Jugend, Familie und Integration"
"195","Ausschuss für Bildung und Kultus"
"59","Ausschuss für Bundes- und Europaangelegenheiten"
"175","Ausschuss für Bundes- und Europaangelegenheiten sowie regionale Beziehungen"
"43","Ausschuss für Eingaben und Beschwerden"
"46","Ausschuss für Ernährung, Landwirtschaft und Forsten"
"88","Ausschuss für Fragen des öffentlichen Dienstes"
"85","Ausschuss für Gesundheit und Pflege"
"91","Ausschuss für Hochschule, Forschung und Kultur"
"60","Ausschuss für Kommunale Fragen und Innere Sicherheit"
"15","Ausschuss für Kommunale Fragen, Innere Sicherheit und Sport"
"44","Ausschuss für Landesentwicklung und Umweltfragen"
"155","Ausschuss für Landwirtschaft und Forsten"
"6","Ausschuss für Sozial-, Gesundheits- und Familienpolitik"
"84","Ausschuss für Soziales, Familie und Arbeit"
"4","Ausschuss für Staatshaushalt und Finanzfragen"
"154","Ausschuss für Umwelt und Gesundheit"
"16","Ausschuss für Umwelt und Verbraucherschutz"
"48","Ausschuss für Verfassung, Recht und Parlamentsfragen"
"47","Ausschuss für Verfassung, Recht, Parlamentsfragen und Verbraucherschutz"
"243","Ausschuss für Verfassungs-, Rechts- und Parlamentsfragen"
"108","Ausschuss für Wirtschaft und Medien, Infrastruktur, Bau und Verkehr, Energie und Technologie"
"151","Ausschuss für Wirtschaft, Infrastruktur, Verkehr und Technologie"
"45","Ausschuss für Wirtschaft, Verkehr und Technologie"
"86","Ausschuss für Wissenschaft und Kunst"
"372","Bayerische Volkspartei"
"289","Bayerischer Verfassungsgerichtshof"
"106","Bayernpartei"
"299","Beamtenbesoldungs-Ausschuß"
"277","Beauftragter für Post"
"206","Beirat bei den Staatsgütern"
"12","Beirat bei der Bayerischen Landeszentrale für politische Bildungsarbeit"
"189","Beirat bei der Landeszentrale für Heimatdienst"
"352","Beirat bei der Staatlichen Jugendfürsorgeerziehungsanstalt Lichtenau"
"227","Beirat beim Landesamt für Datenverarbeitung"
"95","Beirat beim Landesbeauftragten für den Datenschutz"
"83","Beirat der Bücherei des Landtags"
"305","Beirat der Landessiedlung"
"291","Beirat des Milchwirtschaftsverbandes Bayern"
"172","Beirat nach Art. 5 des Gesetzes über die Organisation der elektronischen Datenverarbeitung im Freistaat Bayern - EDV-Beirat -"
"130","Beirat zur Wiedergutmachung beim Landesentschädigungsamt"
"274","Beschw.Aussch.d.Außenst.Mfr.(als Vertr.d.Gr.d.Sachgeschäd.)"
"390","Beschwerdeausschuß bei der Außenstelle Mittelfranken des Landesamts für Soforthilfe (als Vertr.d.Städteverbandes)"
"318","Beschwerdeausschuß bei der Außenstelle Oberfranken des Landesamts für Soforthilfe"
"137","Beschwerdeausschuß bei der Außenstelle Schwaben des Landesamts für Soforthilfe"
"391","Beschwerdeausschuß beim Milch- und Fettwirtschaftsverband"
"379","Beschwerdeausschuß d.Landesamtes f.Soforth.d.Landkreisverbandes Bayern"
"89","Beschwerdeausschuß des Versorgungswerks"
"144","Besoldungsausschuß"
"375","Bibliothekkommission"
"383","Block der Heimatvertriebenen und Entrechteten"
"306","Bundesrat"
"81","Bundesversammlung (Berlin)"
"114","BÜNDNIS 90/DIE GRÜNEN"
