"id","Bezeichnung"
"62","Arbeitsminister"
"27","Finanzminster"
"3","Innenminister"
"4","Justizminister"
"55","Kultusminister"
"7","Landwirtschaftsminister"
"53","Leiter der Staatskanzlei"
"58","Leiter der Staatskanzlei und Staatsmin. für Bundesangel. u. Sonderaufgaben"
"45","Leiterin der Staatskanzlei und Staatsmin. für Bundesangel. u. Sonderaufgaben"
"48","Minister für Bundesangelegenheiten"
"13","Ministerpräsident"
"34","Postminister"
"65","Sonderminister für pol. Befreiung"
"29","Staatsminister der Finanzen"
"89","Staatsminister der Finanzen, für Landesentwicklung und Heimat"
"9","Staatsminister der Justiz"
"11","Staatsminister des Innern"
"47","Staatsminister des Innern, für Bau und Verkehr"
"49","Staatsminister f. Bundesangelegenheiten"
"37","Staatsminister f.Arbeit u.Sozialordnung"
"19","Staatsminister f.Ernährung,Landwirtschaft und Forsten"
"39","Staatsminister für Arbeit und Sozialordnung, Familie, Frauen und Gesundheit"
"38","Staatsminister für Arbeit, Familie und Sozialordnung"
"82","Staatsminister für Bildung und Kultus, Wissenschaft u. Kunst"
"33","Staatsminister für Bundes- und Europaangelegenheiten"
"20","Staatsminister für Bundes- und Europaangelegenheiten in der Staatskanzlei"
"32","Staatsminister für Bundesangelegenheiten und Bevollmächtigter des Freistaatses Bayern beim Bund"
"22","Staatsminister für Ernährung, Landwirtschaft und Forsten"
"81","Staatsminister für Europaangelegenheiten und regionale Beziehungen"
"80","Staatsminister für Gesundheit, Ernährung und Verbraucherschutz"
"26","Staatsminister für Landesentwicklung und Umweltfragen"
"21","Staatsminister für Landwirtschaft und Forsten"
"88","Staatsminister für Sonderaufgaben - Leiter der Staatskanzlei"
"56","Staatsminister für Umwelt und Gesundheit"
"57","Staatsminister für Umwelt und Verbraucherschutz"
"17","Staatsminister für Umwelt, Gesundheit und Verbraucherschutz"
"67","Staatsminister für Unterricht und Kultus"
"91","Staatsminister für Unterricht, Kultus, Wissenschaft und Kunst"
"60","Staatsminister für Wirtschaft u.Verkehr"
"54","Staatsminister für Wirtschaft, Infrastruktur, Verkehr und Technologie"
"90","Staatsminister für Wirtschaft, Verkehr und Technologie"
"41","Staatsminister für Wissenschaft, Forschung und Kunst"
"78","Staatsminister ohne Geschäftsbereich"
"30","Staatsminister, Leiter der Staatskanzlei"
"15","Staatsministerin der Justiz"
"69","Staatsministerin der Justiz und für Verbraucherschutz"
"71","Staatsministerin f. Bundesangelegenheiten"
"74","Staatsministerin für Arbeit und Soziales, Familie und Integration"
"44","Staatsministerin für Arbeit und Sozialordnung, Familie und Frauen"
"87","Staatsministerin für Arbeit und Sozialordnung, Familie, Frauen und Gesundheit"
"72","Staatsministerin für Bundes- und Europaangelegenheiten"
"70","Staatsministerin für Europaangelegenheiten und regionale Beziehungen"
"59","Staatsministerin für Gesundheit und Pflege"
"79","Staatsministerin für Umwelt und Verbraucherschutz"
"52","Staatsministerin für Unterricht und Kultus"
"1","Staatsministerin für Wirtschaft und Medien, Energie und Technologie"
"73","Staatsministerin für Wirtschaft, Infrastruktur, Verkehr und Technologie"
"10","Staatssekretär"
"6","Staatssekretär der Justiz"
"24","Staatssekretär f. Bundes-u. Europaangelegenheiten"
"46","Staatssekretär für Arbeit und Sozialordnung, Familie, Frauen und Gesundheit"
"36","Staatssekretär für Arbeit und Sozialordnung."
"83","Staatssekretär für Landesentwicklung und Umweltfragen"
"31","Staatssekretär für Wirtschaft und Verkehr"
"40","Staatssekretär für Wissenschft und Kunst"
"50","Staatssekretär im Arbeitsministerium"
"43","Staatssekretär im Finanzministerium"
"75","Staatssekretär im IM, für das Flüchtlingswesen"
"2","Staatssekretär im Innenministerium"
"76","Staatssekretär im Innenministerium für den Bereich Allg. Verwaltung"
"77","Staatssekretär im Innenministerium für den Bereich Staatsbauverwaltung/Oberste Baubehörde"
"5","Staatssekretär im Justizministerium"
"63","Staatssekretär im Kultusministerium"
"66","Staatssekretär im Landwirtschaftsministerium"
"64","Staatssekretär im Ministerium UKWK für den Bereich Unterricht und Kultus"
"61","Staatssekretär im Ministerium UKWK für den Bereich Wissenschaft und Kunst"
"35","Staatssekretär im Wirtschaftsministerium"
"23","Staatssekretär in der Staatskanzlei"
"42","Staatssekretär/Leiter der Staatskanzlei"
"68","Staatssekretärfür Ernährung, Landwirtschaft und Forsten"
"14","Staatssekretärin"
"84","Staatssekretärin für Arbeit und sozialordnung"
"86","Staatssekretärin für Arbeit und Sozialordnung, Familie, Frauen und Gesundheit"
"85","Staatssekretärin für Arbeit, Familie und Sozialordnung"
"25","Staatssekretärin für Ernährung, Landwirtschaft und Forsten"
"51","Staatssekretärin im Ministerium UKWK für den Bereich Unterricht und Kultus"
"8","Stv. Ministerpräsident"
"16","Stv. Ministerpräsidentin"
"12","Übernahme des Geschäftsbereichs Justiz"
"28","Verkehrsminister"
"18","Wirtschaftsminister"
