"pa_id","a_id","Typ","von","bis"
"1","1","Mitglied","1994-11-10","1998-09-27"
"2","1","Mitglied","1994-11-10","1998-09-27"
"3","1","Mitglied","1996-12-19","1997-12-17"
"4","1","Vorsitzender","1998-10-28","2003-10-05"
"4","1","Vorsitzender","2003-11-04","2008-10-19"
"5","1","3. Schriftführer","2003-10-06","2008-10-19"
"6","2","Mitglied","2003-11-04","2008-10-19"
"7","3","Mitglied","1970-12-03","1973-03-20"
"8","3","Mitglied","1970-12-03","1973-03-20"
"9","4","Mitglied","1962-12-07","1966-12-01"
"10","4","stv. Mitglied","1970-10-01","1970-12-02"
"11","5","Mitglied","1966-12-02","1970-12-02"
"11","5","Mitglied","1970-12-03","1974-11-11"
"11","5","Mitglied","1974-11-19","1978-10-29"
"12","5","Mitglied","1967-03-07","1970-12-02"
"12","5","Mitglied","1971-01-26","1974-11-11"
"13","5","stv. Mitglied","1973-07-17","1974-11-11"
"13","5","stv. Mitglied","1974-11-12","1978-10-29"
"13","5","stv. Mitglied","1978-10-30","1978-11-08"
"14","5","Mitglied","1974-11-12","1978-10-29"
"15","6","Mitglied","2013-11-06","2013-11-06"
"16","6","Mitglied","2013-11-06","2013-11-06"
"7","7","Mitglied","1994-11-10","1998-09-27"
"17","7","Mitglied","1994-11-10","1998-09-27"
"18","7","Mitglied","1994-11-24","1998-09-27"
"19","8","Fraktionsvorsitzender","2008-10-20","2008-10-20"
"20","9","Mitglied","1947-01-29","1950-11-26"
"21","9","Mitglied","1947-01-29","1950-01-17"
"22","9","Mitglied","1947-01-29","1947-01-29"
"23","9","Mitglied","1950-11-27","1954-12-12"
"23","9","Mitglied","1955-01-13","1957-04-01"
"24","9","Mitglied","1955-03-18","1958-12-03"
"25","9","Mitglied","1957-04-01","1958-12-03"
"9","10","Mitglied","1962-12-07","1966-12-01"
"10","10","stv. Mitglied","1966-11-09","1966-12-01"
"23","10","Mitglied","1966-12-02","1974-11-11"
"26","11","Mitglied","1946-07-15","1946-10-26"
"27","11","Mitglied","1946-12-16","1950-11-26"
"28","11","Mitglied","1947-01-29","1950-11-26"
"28","11","Mitglied","1947-10-06","1950-11-26"
"29","11","Mitglied","1947-02-20","1950-11-26"
"29","11","Mitglied","1949-11-30","1950-11-26"
"30","11","nichtberufsrichterliches Mitglied","1947-07-17","1950-11-26"
"31","11","Mitglied","1947-10-06","1950-11-26"
"31","11","Mitglied","1949-11-30","1950-11-26"
"31","11","Mitglied","1950-01-17","1950-11-26"
"32","11","Mitglied","1948-10-05","1950-11-26"
"33","11","Mitglied","1949-02-07","1950-11-26"
"34","11","Mitglied","1949-11-30","1950-11-26"
"35","12","Mitglied","1972-12-12","1974-11-11"
"9","13","Mitglied","1947-01-29","1950-11-26"
"22","13","Mitglied","1950-08-08","1950-08-08"
"31","13","Mitglied","1947-10-06","1950-11-26"
"36","13","Mitglied","1949-06-24","1950-11-26"
"37","13","Mitglied","1949-12-13","1950-11-26"
"38","14","Mitglied","1946-12-16","1948-12-12"
"10","15","Mitglied","1966-11-09","1966-12-01"
"11","15","Mitglied","1950-11-27","1954-12-12"
"20","15","Mitglied","1946-12-16","1947-01-10"
"23","15","Mitglied","1962-12-07","1966-12-01"
"25","15","Mitglied","1950-11-27","1954-12-12"
"26","15","Mitglied","1946-07-15","1946-10-26"
"30","15","Mitglied","1951-02-08","1954-12-12"
"30","15","Mitglied","1954-12-13","1958-12-03"
"30","15","Mitglied","1959-04-24","1962-12-06"
"30","15","Mitglied","1963-02-12","1966-12-01"
"31","15","Mitglied","1955-01-13","1958-12-03"
"31","15","stv.Vorsitzender","1950-11-27","1954-12-12"
"39","15","stv.Vorsitzender","1955-01-19","1958-12-03"
"39","15","Vorsitzender","1950-11-27","1954-12-12"
"40","15","Mitglied","1953-10-13","1954-12-12"
"41","15","Mitglied","1955-01-13","1958-12-03"
"42","15","Vorsitzender","1958-12-04","1962-12-06"
"42","15","Vorsitzender","1962-12-07","1966-12-01"
"43","16","Mitglied","2000-10-17","2003-10-05"
"44","16","Mitglied","2000-10-17","2002-05-14"
"45","16","Mitglied","2002-05-14","2003-10-05"
"11","17","Mitglied","1958-12-04","1969-07-29"
"46","18","Mitglied","2008-12-04","2013-10-06"
"46","18","Mitglied","2013-11-06","2013-11-06"
"47","18","Mitglied","2008-12-04","2013-10-06"
"48","18","Mitglied","2013-11-06","2013-11-06"
"49","18","Mitglied","2014-07-01","2014-07-01"
"50","18","Vorsitzender","2014-11-27","2014-11-27"
"2","19","Mitglied","1990-10-30","1994-10-14"
"3","19","stv. Mitglied","1990-07-20","1990-10-23"
"8","19","Mitglied","1970-12-03","1974-11-11"
"8","19","Mitglied","1974-11-19","1978-10-29"
"10","19","Mitglied","1994-07-21","1994-10-14"
"10","19","stv. Mitglied","1978-09-20","1978-10-29"
"10","19","stv. Mitglied","1986-07-24","1986-10-21"
"10","19","stv. Mitglied","1990-07-20","1990-10-23"
"13","19","Mitglied","1990-11-19","1994-10-14"
"13","19","stv. Mitglied","1977-09-01","1978-10-29"
"13","19","stv. Mitglied","1978-12-13","1982-10-19"
"13","19","stv. Mitglied","1982-10-20","1986-10-21"
"13","19","stv. Mitglied","1987-11-10","1990-10-23"
"51","19","Mitglied","1972-04-24","1974-11-11"
"51","19","Mitglied","1974-11-19","1978-10-29"
"51","19","Mitglied","1978-11-07","1982-10-19"
"51","19","Mitglied","1982-10-20","1986-10-21"
"51","19","Mitglied","1986-11-11","1990-10-23"
"52","19","Mitglied","1978-12-13","1982-10-19"
"52","19","Mitglied","1982-11-18","1986-10-21"
"52","19","Mitglied","1986-12-10","1990-10-23"
"53","19","Mitglied","1991-12-12","1993-03-18"
"54","19","Mitglied","1994-05-04","1994-10-14"
"54","19","stv. Mitglied","1993-05-05","1994-05-03"
"55","19","stv. Mitglied","1993-11-24","1994-07-14"
"56","19","Mitglied","1994-02-24","1994-07-14"
"10","20","Mitglied","1986-07-24","1986-10-21"
"57","20","Mitglied","1986-01-22","1986-10-21"
"5","21","Mitglied","2013-10-07","2013-10-07"
"58","21","Mitglied","2008-10-23","2009-01-28"
"59","21","Mitglied","2008-12-04","2009-11-02"
"60","21","Mitglied","2008-12-04","2013-10-06"
"61","21","Mitglied","2009-01-29","2013-10-06"
"62","21","Mitglied","2010-02-24","2011-03-29"
