"k_id","a_id","von","bis"
"418","1","1994-10-17","2008-10-19"
"419","2","2003-10-06","2013-10-07"
"420","3","1970-12-03","1973-03-20"
"421","4","1966-12-02","1970-12-02"
"419","5","1966-12-02","1978-11-08"
"422","6","2013-10-07","2013-10-07"
"420","7","1994-10-15","1998-09-27"
"423","7","2013-10-07","2013-10-07"
"424","8","2008-10-20","2008-10-20"
"419","9","1946-12-16","1950-11-26"
"425","9","1950-11-27","1954-12-12"
"426","9","1954-12-13","1958-12-03"
"420","10","1962-12-07","1974-11-11"
"420","11","1946-12-16","1950-11-26"
"427","12","1972-10-10","1974-11-11"
"427","13","1946-12-16","1950-11-26"
"424","14","1946-12-16","1948-12-12"
"421","15","1950-11-27","1966-12-01"
"427","15","1946-12-16","1950-11-26"
"428","16","2000-07-01","2003-10-05"
"428","17","1958-12-04","1969-07-29"
"419","18","2008-10-20","2008-10-20"
"429","19","1970-12-03","1974-11-11"
"430","19","1974-11-12","1994-10-14"
"424","20","1986-01-03","1986-10-21"
"422","21","2008-10-20","2008-10-20"
"419","22","2003-10-06","2008-04-30"
"431","23","2008-10-20","2008-10-20"
"419","24","1946-12-16","1950-11-26"
"432","24","1950-11-27","1962-12-06"
"419","25","1970-12-03","1982-10-19"
"428","26","1966-12-02","1970-12-02"
"433","27","1950-11-27","1966-12-01"
"427","28","1958-12-04","1966-12-01"
"422","29","1950-11-27","1961-12-15"
"434","30","2008-10-20","2013-10-07"
"427","31","1950-11-27","1958-12-03"
"427","32","1946-12-16","1953-09-28"
"435","33","1962-12-07","1974-11-11"
"419","34","2008-10-20","2008-10-20"
"436","35","2013-10-07","2013-10-07"
"420","36","1973-04-05","1974-11-11"
"437","37","1974-11-12","1994-10-14"
"419","38","1970-09-16","1970-12-02"
"420","39","1990-10-24","2003-10-05"
"428","40","1954-12-13","1956-01-09"
"438","41","1978-10-30","1990-10-23"
"434","42","1946-12-16","1950-11-26"
"439","42","1950-11-27","1954-12-12"
"420","43","1954-12-13","1962-12-06"
"424","44","1954-12-13","1962-12-06"
"434","44","1946-12-16","1950-11-26"
"440","44","1950-11-27","1954-12-12"
"441","45","2013-10-07","2013-10-07"
"434","46","1946-12-16","1950-11-26"
"442","46","1950-11-27","1954-12-12"
"443","47","1950-11-27","1954-12-12"
"434","48","1946-12-16","1947-06-20"
"444","49","2008-10-20","2008-10-20"
"420","50","1986-10-22","1990-10-14"
"420","50","2003-10-06","2003-10-06"
"424","51","1962-12-07","1966-12-01"
"420","52","1965-10-21","1967-12-04"
"420","53","1996-05-02","1998-09-27"
"420","54","1950-11-27","1962-12-06"
"428","55","1994-10-15","2003-10-05"
"445","55","1970-12-03","1994-10-14"
"420","56","1946-12-16","1950-11-26"
"446","56","1950-11-27","1953-10-15"
"419","57","1974-11-07","1986-10-21"
"419","57","1994-10-15","2003-10-05"
"447","57","1986-10-22","1994-10-14"
"447","57","2003-10-06","2013-10-07"
"419","58","1950-11-27","1954-12-12"
"422","59","1946-12-16","1949-09-22"
"434","60","1954-12-13","1957-03-26"
"448","60","1950-11-27","1954-12-12"
"434","61","2013-10-07","2013-10-07"
"428","62","1978-10-30","1990-10-23"
"420","63","1993-01-01","2003-10-05"
"424","64","1946-12-16","1950-11-26"
"420","65","1946-12-16","1950-11-26"
"449","65","1954-12-13","1958-02-09"
"420","66","1970-12-03","1978-10-29"
"450","66","1978-10-30","1994-10-14"
"451","67","1990-10-24","1990-10-24"
"420","68","2008-10-20","2013-10-07"
"419","69","2003-10-06","2013-10-07"
"427","70","1946-12-16","1950-11-26"
"420","71","1946-12-16","1966-12-01"
"420","71","1970-12-03","1974-11-11"
"424","72","1946-12-16","1950-11-26"
"452","72","1954-12-13","1958-02-04"
"420","73","1982-10-20","1986-10-21"
"453","73","1974-11-12","1982-10-19"
"453","73","1986-10-22","1990-10-23"
"420","74","2003-10-06","2008-10-19"
"422","75","1994-10-18","1994-10-18"
"424","76","1954-12-13","1958-01-06"
"454","76","1950-11-27","1954-12-12"
"424","77","1954-12-13","1958-12-03"
"455","78","1954-12-13","1962-12-06"
"456","78","1962-12-07","1970-12-02"
"420","79","1970-12-03","1974-11-11"
"424","80","1946-12-16","1958-12-03"
"434","81","1951-01-30","1954-08-10"
"457","82","1990-10-24","1996-04-30"
"427","83","1970-12-03","1978-10-29"
"458","84","2008-10-20","2008-10-20"
"424","85","1990-05-16","1990-10-23"
"434","86","1991-01-30","1994-10-14"
"420","87","1994-10-17","2003-10-05"
"459","87","2003-10-06","2003-10-06"
"434","88","1946-12-16","1950-11-26"
"420","89","1958-12-04","1966-12-01"
"420","89","1970-09-16","1970-12-02"
"427","90","1998-09-28","2008-10-19"
"428","91","1986-10-22","1990-10-23"
"428","92","1946-12-16","1950-11-26"
"420","93","1966-12-02","1970-12-02"
"460","94","2013-10-07","2013-10-07"
"434","95","1974-11-12","1984-06-01"
"420","96","1990-10-24","1994-10-14"
"424","97","1946-12-16","1950-11-26"
"461","97","1954-12-13","1966-12-01"
"420","98","1986-10-22","1991-07-15"
"420","99","1970-12-03","1974-12-27"
"420","100","1980-08-26","1994-10-14"
"419","101","1992-05-27","1994-10-14"
"462","101","1994-10-15","2013-10-07"
"422","102","2007-01-23","2008-10-19"
"463","102","2013-10-07","2013-10-07"
"420","103","1954-12-13","1966-12-01"
"419","105","1950-01-01","1950-11-26"
"420","106","1974-11-12","1978-10-29"
"464","106","1970-12-03","1974-11-11"
"424","107","1954-12-13","1958-12-03"
"465","108","1994-10-19","2003-10-05"
"466","108","2003-10-06","2003-10-06"
"419","109","1946-12-16","1950-11-26"
"422","110","1990-10-24","1994-10-14"
"447","111","2013-10-07","2013-10-07"
"467","112","1966-12-02","1970-12-02"
"420","113","2008-10-20","2013-10-07"
"422","114","1962-12-07","1966-12-01"
"468","114","1966-12-02","1974-11-11"
"469","114","1974-11-12","1978-10-29"
"420","115","1950-11-27","1954-12-12"
"420","116","1978-10-30","1990-10-23"
"427","117","1970-12-03","1974-11-11"
"420","118","1986-10-22","1990-10-23"
"420","119","1974-11-12","1978-10-29"
"446","119","1966-12-02","1974-11-11"
"446","119","1978-10-30","1986-10-21"
"434","120","1954-12-13","1958-12-03"
"420","121","1958-12-04","1965-10-21"
"427","122","1986-10-22","2003-10-05"
"470","122","1974-11-12","1986-10-21"
"422","123","1962-12-07","1970-12-02"
"422","123","1974-11-12","1986-10-21"
"471","123","1970-12-03","1974-11-11"
"472","124","1974-11-12","1976-10-26"
"427","125","1946-12-16","1949-06-29"
"427","126","2013-10-07","2013-10-07"
"419","127","1946-12-16","1950-11-26"
"427","128","1990-10-23","2003-10-05"
"444","128","2003-10-06","2008-10-19"
"420","129","1994-10-15","1998-09-27"
"427","130","1966-12-02","1981-04-07"
"473","131","1982-10-20","1990-05-15"
"420","132","1966-12-02","1969-12-18"
"474","133","1970-12-03","1990-10-23"
"420","134","1990-10-24","1996-05-10"
"420","134","2008-10-20","2010-08-18"
"428","135","2008-10-20","2013-10-07"
"420","136","1974-11-12","1982-10-19"
"427","137","1958-12-04","1974-11-11"
"419","138","1954-12-13","1966-12-01"
"422","139","1946-12-16","1949-09-23"
"419","140","1966-12-02","1970-12-02"
"475","141","1966-12-02","1970-12-02"
"476","142","1958-12-04","1966-12-01"
"445","143","1958-12-04","1970-12-02"
"428","144","1946-12-16","1948-02-29"
"464","145","1966-12-02","1970-12-02"
"477","145","1950-11-27","1954-12-12"
"477","145","1962-12-07","1966-12-01"
"478","145","1954-12-13","1962-12-06"
"479","146","1990-10-23","2003-10-05"
"480","146","2003-10-06","2008-10-19"
"420","147","1950-11-27","1953-10-23"
"481","148","2008-10-20","2008-10-20"
"482","149","1962-12-07","1974-11-11"
"483","149","1974-11-12","1994-10-14"
"484","150","1966-12-02","1994-10-14"
"424","151","1946-12-16","1954-12-12"
"427","152","1946-12-16","1950-11-26"
"434","153","1974-11-12","1978-05-02"
"485","154","1970-12-03","1974-11-11"
"486","154","1974-11-12","1982-10-19"
"427","156","2008-10-20","2013-10-07"
"424","157","1970-12-03","1978-10-29"
"487","158","1974-11-12","1990-10-23"
"488","159","1994-10-17","2008-10-19"
"419","160","1990-10-24","1994-10-14"
"473","161","1990-10-23","1994-10-14"
"489","161","1994-10-15","2013-10-07"
"473","162","1974-11-12","1982-10-19"
"419","163","1946-12-16","1958-12-03"
"420","164","2012-04-03","2013-10-06"
"490","164","2013-10-07","2013-10-07"
"491","165","1974-11-12","1986-10-21"
"424","166","1950-11-27","1954-12-12"
"420","167","1974-11-12","1982-10-19"
"420","167","1990-10-24","1994-10-14"
"492","168","1970-12-03","1978-10-29"
"422","169","1954-12-13","1962-12-06"
"493","169","1962-12-07","1970-12-02"
"428","170","1946-12-16","1950-11-26"
"494","170","1950-11-27","1954-12-12"
"419","171","1952-08-20","1954-12-12"
"419","171","1957-01-18","1958-12-03"
"426","171","1958-12-04","1966-12-01"
"495","171","1966-12-02","1974-11-11"
"420","172","1974-11-12","1990-10-23"
"424","173","2003-10-06","2008-04-30"
"420","174","1960-10-30","1962-12-06"
"467","174","1962-12-07","1966-12-01"
"419","175","2002-11-22","2003-10-05"
"496","176","2003-10-06","2008-04-30"
"420","177","1966-12-02","1970-12-02"
"497","178","2013-10-07","2013-10-07"
"427","179","1974-11-12","1982-06-11"
"498","179","1970-12-03","1974-11-11"
"420","180","1998-09-28","1998-09-28"
"499","181","1950-11-27","1974-11-11"
"422","182","1950-11-27","1958-12-03"
"424","183","1966-12-02","1978-10-29"
"500","184","1998-09-28","2003-10-05"
"501","184","2003-10-06","2003-10-06"
"420","185","1950-11-27","1954-12-12"
"419","186","1990-10-24","1993-12-31"
