"p_id","a_id","von","bis"
"28","2","2003-10-06","2013-10-07"
"28","50","1986-10-22","1990-10-14"
"28","50","2003-10-06","2003-10-06"
"28","110","1990-10-24","1994-10-14"
"28","118","1986-10-22","1990-10-23"
"28","126","2013-10-07","2013-10-07"
"28","134","1990-10-24","1996-05-10"
"28","134","2008-10-20","2010-08-18"
"28","180","1998-09-28","1998-09-28"
"28","212","2013-05-14","2013-10-07"
"28","256","1990-10-24","1997-09-14"
"28","260","2010-08-25","2013-10-07"
"28","297","2013-10-07","2013-10-07"
"28","309","2008-10-20","2008-10-20"
"28","332","1998-09-28","1998-09-28"
"28","390","2003-10-06","2013-10-07"
"28","398","1994-10-15","1999-12-18"
"28","402","2008-10-20","2008-10-20"
"28","409","1986-10-22","1987-06-25"
"28","529","2003-10-06","2003-10-06"
"28","530","1986-10-22","1997-07-31"
"28","542","1990-10-24","2003-10-05"
"28","547","1986-10-22","1990-10-23"
"28","610","1990-10-24","2003-10-05"
"28","641","1994-10-15","1998-09-27"
"28","646","2013-10-07","2013-10-07"
"28","679","1990-10-23","1998-09-27"
"28","686","1986-10-22","1998-09-25"
"28","686","2003-10-06","2003-10-06"
"28","709","1986-10-22","1990-10-23"
"28","730","2013-10-07","2013-10-07"
"28","758","1994-10-15","2003-10-05"
"28","759","2003-10-06","2003-10-06"
"28","797","2013-10-07","2013-10-07"
"28","805","1986-10-22","1994-10-14"
"28","805","1998-09-28","2008-10-19"
"28","849","1986-10-22","1990-10-23"
"28","892","1990-10-24","1998-09-27"
"28","906","1986-10-22","1990-10-23"
"28","916","1986-10-22","1990-10-23"
"28","927","1996-05-13","2013-10-07"
"28","936","2003-10-06","2009-04-02"
"28","951","1994-10-15","2003-10-05"
"28","955","1998-09-28","2013-10-07"
"28","957","1986-10-22","1994-10-14"
"28","1007","1994-10-15","2003-10-05"
"28","1007","2008-10-20","2013-10-07"
"28","1012","1986-10-22","1994-10-14"
"28","1023","2013-10-07","2013-10-07"
"28","1067","2013-10-07","2013-10-07"
"28","1089","1997-08-01","2013-05-03"
"28","1091","1998-09-28","2013-10-07"
"28","1095","2009-04-03","2009-04-03"
"28","1106","2013-10-07","2013-10-07"
"28","1142","1994-10-15","1998-09-27"
"28","1148","2013-10-07","2013-10-07"
"28","1158","1998-09-28","2003-10-05"
"28","1158","2008-10-20","2013-10-07"
"28","1165","2003-10-06","2013-10-07"
"28","1228","1986-10-22","1990-10-23"
"28","1262","1987-07-02","1990-10-23"
"28","1286","1986-10-22","1990-10-23"
"29","1","1994-10-17","2008-10-19"
"29","4","1966-12-02","1970-12-02"
"29","7","1994-10-15","1998-09-27"
"29","7","2013-10-07","2013-10-07"
"29","11","1946-12-16","1949-11-30"
"29","12","1972-10-10","1974-11-11"
"29","13","1946-12-16","1950-11-26"
"29","14","1946-12-16","1948-12-12"
"29","15","1946-12-16","1966-12-01"
"29","17","1958-12-04","1969-07-29"
"29","19","1970-12-03","1994-10-14"
"29","20","1986-01-03","1986-10-21"
"29","22","2003-10-06","2008-04-30"
"29","23","2008-10-20","2008-10-20"
"29","24","1946-12-16","1962-12-06"
"29","25","1970-12-03","1982-10-19"
"29","27","1950-11-27","1966-12-01"
"29","28","1958-12-04","1966-12-01"
"29","33","1962-12-07","1974-11-11"
"29","35","2013-10-07","2013-10-07"
"29","37","1974-11-12","1994-10-14"
"29","38","1970-09-16","1970-12-02"
"29","41","1978-10-30","1990-10-23"
"29","42","1946-12-16","1954-12-12"
"29","44","1946-12-16","1948-01-26"
"29","45","2013-10-07","2013-10-07"
"29","47","1950-11-27","1954-12-12"
"29","49","2008-10-20","2008-10-20"
"29","53","1996-05-02","1998-09-27"
"29","55","1970-12-03","2003-10-05"
"29","57","1974-11-07","2013-10-07"
"29","61","2013-10-07","2013-10-07"
"29","64","1946-12-16","1950-11-26"
"29","65","1946-12-16","1950-11-26"
"29","65","1954-12-13","1958-02-09"
"29","66","1970-12-03","1994-10-14"
"29","67","1990-10-24","1990-10-24"
"29","72","1946-12-16","1950-11-26"
"29","72","1954-12-13","1958-02-04"
"29","73","1974-11-12","1990-10-23"
"29","74","2003-10-06","2013-10-07"
"29","78","1954-12-13","1970-12-02"
"29","82","1990-10-24","1996-04-30"
"29","84","2008-10-20","2008-10-20"
"29","85","1990-05-16","2003-10-05"
"29","87","1994-10-17","1994-10-17"
"29","92","1946-12-16","1950-11-26"
"29","94","2013-10-07","2013-10-07"
"29","96","1990-10-24","1994-10-14"
"29","97","1946-12-16","1950-11-26"
"29","97","1954-12-13","1966-12-01"
"29","99","1970-12-03","1974-12-27"
"29","100","1980-08-26","1994-10-14"
"29","101","1992-05-27","2013-10-07"
"29","102","2007-01-23","2007-01-23"
"29","104","1982-10-20","2003-10-05"
"29","105","1950-01-01","1950-11-26"
"29","108","1994-10-19","1994-10-19"
"29","111","2013-10-07","2013-10-07"
"29","114","1962-12-07","1978-10-29"
"29","117","1970-12-03","1974-11-11"
"29","122","1974-11-12","2003-10-05"
"29","124","1974-11-12","1976-10-26"
"29","125","1946-12-16","1949-06-29"
"29","127","1946-12-16","1950-11-26"
"29","128","1990-10-23","2008-10-19"
"29","131","1982-10-20","1990-05-15"
"29","132","1966-12-02","1969-12-18"
"29","133","1970-12-03","1990-10-23"
"29","141","1966-12-02","1970-12-02"
"29","143","1958-12-04","1970-12-02"
"29","144","1946-12-16","1948-02-29"
"29","146","1990-10-23","2008-10-19"
"29","147","1950-11-27","1953-10-23"
"29","148","2008-10-20","2008-10-20"
"29","149","1962-12-07","1994-10-14"
"29","150","1966-12-02","1994-10-14"
"29","152","1946-12-16","1950-11-26"
"29","153","1974-11-12","1978-05-02"
"29","154","1970-12-03","1982-10-19"
"29","155","1986-10-22","2003-10-05"
"29","158","1974-11-12","1990-10-23"
"29","159","1994-10-17","2013-10-07"
"29","161","1990-10-23","2013-10-07"
"29","162","1974-11-12","1982-10-19"
"29","163","1946-12-16","1958-12-03"
"29","164","2012-04-03","2012-04-03"
"29","168","1970-12-03","1978-10-29"
"29","172","1974-11-12","1990-10-23"
"29","176","2003-10-06","2008-04-30"
"29","178","2013-10-07","2013-10-07"
"29","179","1970-12-03","1982-06-11"
"29","181","1950-11-27","1974-11-11"
"29","184","1998-09-28","1998-09-28"
"29","187","1990-10-23","2013-10-07"
"29","188","1946-12-16","1954-12-12"
"29","189","1982-10-20","1990-10-23"
"29","190","1946-12-16","1950-11-26"
"29","192","1946-12-16","1966-12-01"
"29","193","1958-12-04","1961-10-09"
"29","194","1954-12-13","1966-12-01"
"29","195","1946-12-16","1962-12-06"
"29","197","2013-10-07","2013-10-07"
"29","198","1954-07-29","1987-08-31"
"29","199","2003-10-06","2003-10-06"
"29","200","2007-11-12","2008-10-19"
"29","201","1950-11-27","1966-12-01"
"29","203","1946-12-16","1950-11-26"
"29","206","1986-10-22","1996-07-31"
"29","207","1958-12-04","1966-12-01"
"29","210","1949-07-05","1950-11-26"
"29","211","1990-10-24","2002-04-30"
"29","218","1996-04-01","2008-10-19"
"29","220","1946-12-16","1966-12-01"
"29","221","1978-10-28","2008-10-19"
"29","222","2013-10-07","2013-10-07"
"29","224","2011-05-17","2012-04-02"
"29","227","1978-10-30","1994-10-14"
"29","229","1946-12-16","1950-11-26"
"29","231","1998-09-28","2008-10-19"
"29","235","1966-12-02","1990-10-23"
"29","236","1970-12-03","1994-10-14"
"29","239","1977-06-03","1978-10-29"
"29","239","1979-01-17","1994-10-14"
"29","240","1994-10-17","2008-10-19"
"29","241","1954-12-13","1974-11-11"
"29","242","1954-12-13","1974-11-11"
"29","243","2002-11-04","2003-10-05"
"29","243","2008-05-01","2008-10-19"
"29","247","1984-07-19","1998-09-27"
"29","248","1990-10-23","2008-10-19"
