"s_id","a_id","von","bis"
"1","7","2013-10-10","2013-10-10"
"2","15","1947-01-10","1947-09-20"
"3","15","1947-09-20","1950-12-18"
"4","15","1957-10-16","1958-12-09"
"5","33","1966-12-05","1970-12-08"
"6","33","1970-12-08","1974-11-12"
"7","44","1945-09-28","1948-01-15"
"7","44","1954-12-14","1957-10-16"
"8","44","1954-12-14","1957-10-16"
"9","49","2013-10-10","2013-10-10"
"8","57","2001-01-30","2007-10-09"
"10","57","1988-10-19","1993-06-17"
"11","57","1993-06-17","2003-10-14"
"11","57","2003-10-14","2007-10-09"
"12","57","1999-09-04","1999-09-13"
"13","57","2007-10-09","2008-10-27"
"14","66","1974-11-12","1986-10-30"
"15","66","1986-10-30","1988-10-19"
"15","66","1988-10-19","1993-06-17"
"16","66","1988-10-19","1990-10-30"
"16","66","1990-10-30","1993-06-17"
"10","67","2005-11-29","2007-10-16"
"17","67","2007-10-16","2008-10-29"
"3","71","1957-10-16","1958-12-05"
"18","71","1954-12-14","1957-10-16"
"19","87","1993-06-17","1998-10-06"
"20","87","1998-10-06","2003-10-14"
"21","108","2008-10-30","2013-10-09"
"22","108","2008-10-30","2008-10-30"
"23","122","1990-10-30","1993-06-17"
"24","122","1993-06-17","1994-10-20"
"25","146","1993-06-17","2001-01-30"
"10","149","1970-12-08","1977-05-26"
"26","149","1977-05-26","1990-10-30"
"8","181","1958-12-09","1960-01-26"
"8","181","1960-01-26","1964-06-24"
"27","181","1957-10-16","1958-12-09"
"27","181","1958-12-09","1962-12-11"
"27","181","1962-12-11","1964-06-24"
"10","184","2009-10-14","2009-10-14"
"4","192","1945-05-28","1945-09-28"
"4","192","1962-12-11","1966-12-05"
"5","192","1945-09-28","1946-12-21"
"7","192","1948-01-15","1948-02-26"
"13","192","1946-12-21","1950-10-18"
"13","192","1950-12-18","1954-12-14"
"13","192","1960-01-26","1962-12-11"
"27","192","1950-02-08","1950-12-18"
"28","192","1951-01-09","1952-10-01"
"7","198","1969-03-11","1970-12-08"
"19","198","1970-12-08","1987-08-31"
"10","199","2013-10-10","2013-10-10"
"10","224","2007-10-16","2008-10-29"
"29","224","2008-10-30","2011-11-03"
"29","231","1998-10-06","2007-10-16"
"30","231","1995-11-15","1998-10-06"
"2","242","1966-12-05","1970-12-08"
"10","251","1977-05-26","1986-10-30"
"29","272","1990-10-30","1995-11-15"
"31","272","1978-11-07","1987-09-30"
"32","272","1987-09-30","1987-12-08"
"33","272","1987-12-08","1990-10-23"
"10","275","1998-10-06","2007-10-16"
"10","290","2013-10-10","2013-10-10"
"10","303","1986-10-22","1990-10-23"
"26","303","1990-10-30","1994-10-14"
"34","311","1945-05-28","1945-09-28"
"35","311","1947-01-10","1950-12-18"
"3","314","1954-12-14","1957-10-16"
"10","326","1986-10-30","1988-06-14"
"10","327","1987-09-30","1988-06-14"
"36","327","1984-07-17","1987-09-30"
"37","327","1988-06-14","1991-02-01"
"38","327","1991-02-01","1993-06-17"
"39","327","1993-06-17","1994-10-27"
"3","330","1958-12-09","1962-12-11"
"5","330","1957-10-16","1958-12-09"
"13","330","1962-12-11","1978-11-07"
"26","331","1994-02-25","1998-10-06"
"33","331","1990-10-30","1994-02-25"
"40","331","1986-10-30","1990-10-30"
"41","331","2003-10-14","2008-10-29"
"35","358","1950-12-18","1962-12-11"
"14","363","2001-01-30","2003-10-14"
"4","375","1958-12-09","1962-12-11"
"42","375","1954-12-14","1957-10-16"
"43","375","1957-10-16","1958-12-09"
"44","381","2008-10-30","2013-10-09"
"45","381","2013-10-10","2014-09-01"
"10","419","2003-10-14","2008-10-29"
"4","424","1966-12-05","1970-12-08"
"8","424","1972-02-22","1974-11-12"
"9","424","1970-12-08","1974-11-12"
"28","426","1946-02-09","1946-12-16"
"11","435","2007-10-16","2013-10-09"
"46","435","1998-10-06","1999-09-12"
"47","435","2013-10-10","2013-10-10"
"14","439","2008-10-30","2013-10-09"
"41","441","2008-10-30","2013-10-09"
"42","442","1960-01-26","1962-12-11"
"48","442","1962-12-11","1970-12-08"
"49","442","1970-12-08","1978-11-07"
"8","450","1977-05-26","1978-11-07"
"8","450","1978-11-07","1982-10-27"
"8","450","1982-10-27","1986-10-30"
"8","450","1986-10-30","1988-06-14"
"9","450","1974-11-12","1978-11-07"
"9","450","1978-11-07","1982-10-27"
"10","450","1970-12-08","1974-11-12"
"11","450","1982-10-27","1986-10-30"
"37","450","1986-10-30","1988-06-14"
"50","450","1966-12-05","1970-12-08"
"10","451","2013-10-10","2013-10-10"
"3","457","1950-12-18","1954-12-14"
"4","457","1945-09-28","1946-12-21"
"4","457","1946-12-21","1947-09-20"
"8","457","1946-12-21","1947-09-20"
"8","457","1950-12-18","1954-12-14"
"13","457","1945-09-28","1946-12-21"
"13","457","1954-12-14","1957-10-16"
"51","466","1993-06-17","1998-10-06"
"52","466","1998-10-06","2005-04-18"
"29","473","1995-11-15","1998-10-06"
"29","473","2007-10-16","2008-10-29"
"30","473","1994-10-27","1995-11-15"
"30","473","1998-10-06","2003-10-14"
"53","473","2003-10-14","2005-11-29"
"54","473","2005-11-29","2007-10-16"
"8","476","1974-11-12","1977-05-26"
"29","476","1972-02-22","1974-11-12"
"29","476","1974-11-12","1977-05-26"
"55","476","1964-10-07","1970-12-08"
"10","477","2007-10-16","2011-03-16"
"30","477","2011-03-17","2011-11-03"
"56","477","2011-11-04","2013-10-09"
"57","477","2013-10-10","2014-09-16"
"58","477","2014-09-05","2014-09-05"
"14","483","2007-10-16","2012-02-29"
"14","483","2012-05-14","2013-10-09"
"59","483","2013-10-10","2013-10-10"
"7","484","1957-10-16","1966-12-05"
"7","484","1966-12-05","1969-03-11"
"8","484","1964-06-24","1966-12-05"
"8","484","1966-12-05","1969-03-11"
"55","484","1946-12-21","1950-12-18"
"43","511","1966-12-05","1970-12-08"
"60","511","1970-12-08","1988-06-14"
"2","517","1957-10-16","1962-12-11"
"3","517","1962-12-11","1966-12-05"
"10","553","1970-12-08","1978-04-30"
"61","560","1995-10-27","1998-10-06"
"50","585","1945-10-22","1947-09-20"
"50","585","1950-12-18","1954-12-14"
"62","585","1947-09-20","1950-12-18"
"10","589","2011-03-17","2011-11-08"
"30","589","2011-11-09","2013-10-09"
"6","598","1994-10-27","1998-10-06"
"61","598","1993-06-17","1994-10-27"
"5","620","1947-07-18","1948-12-01"
"9","624","1982-10-27","1986-10-30"
"11","624","1986-10-30","1988-10-19"
"60","624","1988-10-19","1993-06-17"
"10","631","1970-12-08","1974-11-12"
"63","631","1964-06-24","1970-12-08"
"9","640","1993-06-17","1998-10-06"
"64","640","1990-10-30","1993-06-17"
"43","658","1958-12-09","1966-12-05"
"65","668","1946-12-21","1947-06-24"
"66","681","1950-12-18","1954-12-14"
"67","691","1970-12-08","1986-10-30"
"10","698","1986-10-30","1987-09-30"
"19","698","1990-10-30","1993-06-17"
"68","698","1987-09-30","1990-10-30"
"15","712","2003-10-14","2008-10-29"
"69","712","2008-10-30","2013-10-09"
"70","712","2013-10-10","2013-10-10"
"3","713","1966-12-05","1970-12-08"
"11","713","1970-12-08","1977-05-26"
"6","714","1993-06-17","1994-10-27"
"46","714","1994-10-27","1998-10-06"
"10","718","1974-11-12","1993-06-17"
"10","720","2003-10-14","2007-10-16"
"10","723","1988-06-14","1990-10-30"
"19","728","1998-10-06","2003-10-14"
"21","728","2003-10-14","2008-10-29"
"22","728","2003-10-14","2008-10-29"
"68","728","1990-10-30","1993-06-17"
"71","741","1994-10-27","1998-10-06"
"14","746","2003-10-14","2005-11-29"
"72","746","2005-11-29","2007-10-16"
"72","746","2008-10-30","2013-10-09"
"73","746","2007-10-16","2008-10-29"
"74","746","2013-10-10","2013-10-10"
"4","750","1947-09-20","1950-12-18"
"4","750","1950-12-18","1952-06-05"
"8","750","1947-10-20","1950-12-18"
"10","756","1995-11-15","1998-10-06"
"2","769","1951-01-03","1954-12-14"
"6","770","1977-05-26","1978-11-07"
"10","770","1978-11-07","1984-07-17"
"37","770","1984-07-17","1986-10-30"
"19","787","1987-09-30","1990-10-30"
"68","787","1970-12-08","1987-09-30"
"75","789","1950-12-18","1953-11-24"
"62","792","1950-12-18","1954-12-14"
"43","802","1954-12-14","1957-10-16"
"42","816","1945-09-28","1946-07-03"
"42","816","1946-12-21","1950-12-18"
"65","816","1946-07-03","1946-12-21"
"37","826","1970-12-08","1984-07-17"
"50","826","1964-06-24","1966-12-05"
"62","826","1966-12-05","1970-12-08"
"63","827","1946-12-21","1947-09-20"
"10","848","2008-10-30","2008-10-30"
"27","853","1964-06-24","1970-12-08"
"63","853","1962-12-11","1964-06-24"
"10","871","1998-10-06","2003-10-13"
"76","871","1993-06-17","1998-10-06"
"6","911","1988-10-19","1990-10-30"
"10","911","1984-07-17","1988-10-19"
"36","911","1978-11-07","1984-07-17"
"31","937","1970-12-08","1978-11-07"
"35","937","1966-12-05","1970-12-08"
"10","938","2007-10-16","2013-10-07"
"6","946","1990-10-30","1993-06-17"
"9","946","1998-10-06","1999-09-03"
"24","946","1988-06-14","1990-10-30"
"77","946","1993-06-17","1998-10-06"
"78","946","1999-09-04","1999-09-13"
"79","954","2014-09-16","2014-09-16"
"8","956","1969-03-11","1970-12-08"
"8","956","1970-12-08","1972-02-22"
"18","956","1957-10-16","1970-12-08"
"29","956","1970-12-08","1972-02-22"
"7","975","1948-02-26","1948-12-18"
"7","975","1950-12-18","1954-12-14"
"10","979","2001-01-30","2007-10-16"
"46","979","1999-09-13","2001-01-30"
"32","983","1986-10-30","1987-09-27"
"49","983","1978-11-07","1986-10-30"
"17","994","2003-10-14","2007-10-09"
"26","994","1998-10-06","2003-10-13"
"30","999","2008-10-30","2011-03-16"
"67","999","2005-04-21","2008-10-29"
"2","1029","1947-09-20","1950-12-18"
"55","1029","1951-01-03","1954-12-14"
"14","1031","1993-06-17","1994-10-27"
"13","1055","2008-10-27","2008-10-27"
"13","1059","1957-10-16","1960-01-21"
"18","1059","1947-09-20","1954-12-14"
"6","1061","1974-11-12","1977-05-26"
"11","1061","1977-05-26","1978-11-07"
"3","1063","1946-12-21","1947-09-20"
"10","1068","2007-10-16","2008-10-29"
"10","1068","2011-11-09","2011-11-09"
"66","1072","1954-12-14","1962-12-11"
"53","1075","2005-11-29","2008-10-29"
"80","1075","2001-01-30","2003-10-14"
"81","1075","2003-10-14","2005-11-29"
"67","1084","2008-10-30","2013-10-09"
"82","1084","2013-10-10","2013-10-10"
"10","1088","1994-10-27","2007-10-16"
"31","1088","1993-06-17","1994-10-27"
"83","1088","1988-06-14","1990-10-30"
"8","1093","1957-10-16","1958-12-09"
"62","1093","1954-12-14","1958-12-09"
"62","1093","1958-12-09","1962-12-11"
"75","1093","1953-11-24","1954-12-14"
"14","1094","1987-09-30","1988-10-19"
"14","1094","1990-10-30","1991-02-01"
"16","1094","1998-10-06","2001-01-30"
"84","1094","1988-10-19","1990-10-30"
"85","1094","1991-02-01","1993-06-17"
"86","1094","1993-06-17","1994-10-27"
"87","1094","1994-10-27","2001-01-30"
"14","1114","1998-10-06","2001-01-30"
"44","1114","2001-01-30","2008-10-29"
"11","1121","1988-10-19","1993-06-17"
"13","1121","1993-05-28","1994-10-27"
"13","1121","1994-10-27","2007-10-09"
"23","1121","1982-10-27","1986-10-30"
"33","1121","1994-02-25","1994-10-27"
"88","1121","1986-10-30","1988-10-19"
"13","1128","1978-11-06","1988-10-03"
"8","1131","1988-07-12","1988-10-19"
"13","1131","1988-10-19","1993-05-27"
"26","1131","1970-12-08","1977-05-26"
"29","1131","1977-05-26","1988-10-19"
"50","1132","1957-10-16","1962-12-11"
"62","1132","1962-12-11","1964-06-24"
"29","1152","2011-11-04","2013-10-09"
"33","1152","2007-10-16","2008-10-29"
"56","1152","2008-10-30","2011-11-03"
"89","1152","2013-10-10","2013-10-10"
"66","1153","1947-09-20","1950-12-18"
"11","1154","1978-11-07","1982-10-27"
